FAMID,cbmom_1,cbmom_2,cbmom_3,cbmom_4,cbmom_5,cbdad_1,cbdad_2,cbdad_3,cbdad_4,cbdad_5,DID31_21,DID15_21,DID27_21,DID33_21,LDS01_21,LDS02_21,LDS03_21,LDS04_21,LDS05_21,LDS06_21,LDS07_21,LDS08_21,LDS09_21,LDS10_21,LDS11_21,LDS12_21,LDS13_21,LDS14_21,LDS15_21,PSS01R_21,PSS02_21,PSS03_21,PSS04R_21,SEX2,purpose_21,stress_21,lifesat_21,MEDUC2,MPEDUC2
1079,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,NA,NA,NA,2,5,NA,NA,NA,3,3,3,3,3,3,5,4,4,5,5,5,4,5,5,5,4,4,4,4,4,3,3,3,3,2,3,3,4.466666667,5,1
1081,NA,2,1,2,2,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA
1082,NA,NA,3,0,2,NA,NA,3,0,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,1,4.25,4,5,3,2
1083,NA,NA,NA,NA,1,NA,NA,NA,NA,0,4,5,4,4,2,2,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,2,4.25,3.25,3.6,4,NA
1084,1,0,2,2,1,4,1,2,4,1,4,4,5,4,5,5,4,4,2,2,3,3,3,2,2,3,3,3,3,2,4,4,2,2,4.25,3,3.133333333,2,2
1085,NA,NA,0,1,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,2
1086,NA,NA,0,1,5,NA,NA,2,1,4,4,4,5,4,4,4,5,4,3,4,5,4,4,5,4,4,3,3,4,3,4,3,3,2,4.25,3.25,4,3,NA
1087,NA,NA,0,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA
1088,NA,3,3,2,3,NA,0,NA,2,6,3,3,3,3,5,5,2,3,3,5,4,4,3,4,4,5,3,2,3,3,3,2,3,2,3,2.75,3.666666667,5,NA
1089,NA,2,1,4,1,NA,0,0,3,0,4,4,4,3,3,3,3,3,3,5,4,3,4,4,4,5,4,4,4,5,2,3,4,1,3.75,3.5,3.733333333,2,3
1090,NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,4,4,3,5,5,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,4,4,1,3.75,4,4.466666667,2,3
1091,NA,NA,NA,NA,0,NA,NA,NA,NA,0,4,4,4,4,4,4,2,4,4,5,4,4,5,5,4,4,4,2,4,3,4,3,3,1,4,3.25,3.933333333,2,2
1092,1,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,3,0,0,1,2,3,1,1,1,2,5,4,4,3,4,5,0,3,2,5,4,4,4,5,4,2,5,1,3,5,4,3,3,2,4,3.75,3.4,1,3
1094,NA,NA,NA,3,2,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA
1095,NA,NA,1,4,1,NA,NA,0,4,1,4,5,4,4,3,3,3,1,1,2,2,4,4,0,0,5,4,1,5,3,4,4,2,1,4.25,3.25,2.533333333,2,NA
1096,NA,0,0,0,0,NA,1,0,0,1,5,5,5,5,5,5,5,5,1,5,5,5,2,3,4,0,4,3,2,4,4,3,3,2,5,3.5,3.6,1,1
1097,NA,NA,NA,1,1,NA,NA,NA,3,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,4,5,5,3,3,2,5,4,4.6,4,3
1098,NA,3,3,1,3,NA,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA
1099,NA,1,3,1,1,NA,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA
1100,NA,5,3,4,3,NA,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,2
1101,NA,3,3,2,3,NA,4,NA,4,2,5,5,5,5,5,5,1,4,5,2,4,4,2,5,4,2,5,1,5,2,3,3,2,2,5,2.5,3.6,3,NA
1102,NA,1,0,0,0,NA,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,3,2,5,4,4.866666667,3,2
1103,NA,NA,3,4,NA,NA,NA,1,5,NA,4,4,3,3,4,4,2,3,2,3,4,4,4,5,3,4,4,3,4,4,4,4,4,2,3.5,4,3.533333333,NA,NA
1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,4,0,3,5,5,3,3,2,5,5,5,4,4,4,5,5,3,5,2,3.5,4.5,3.733333333,3,1
1105,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,4,4,5,3,3,3,3,3,3,4,3,4,4,3,3,4,2,2,3,4,3,3,2,4.25,3.25,3.133333333,3,NA
1106,NA,NA,0,2,3,NA,NA,1,2,2,4,4,4,2,4,4,5,4,3,4,3,3,5,5,5,5,2,3,3,4,3,2,5,2,3.5,3.5,3.866666667,1,1
1107,NA,1,2,0,2,NA,1,2,3,2,4,5,2,2,5,2,0,3,4,4,3,5,3,4,1,2,5,1,5,3,3,3,2,2,3.25,2.75,3.133333333,2,7
1108,NA,NA,3,5,3,NA,NA,3,3,0,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,4,1,NA,3,3,4,3
1109,NA,NA,NA,0,NA,NA,2,1,0,2,4,2,4,4,5,5,4,4,2,5,5,4,4,4,4,4,4,3,2,2,4,4,2,1,3.5,3,3.933333333,NA,NA
1110,NA,NA,NA,0,2,NA,NA,NA,4,3,3,5,2,3,1,1,2,3,3,2,3,3,2,3,4,2,2,2,2,3,3,3,2,1,3.25,2.75,2.333333333,3,4
1111,NA,NA,NA,2,4,NA,NA,NA,1,1,4,4,4,4,3,3,3,5,3,2,5,3,5,4,5,3,3,4,3,4,4,3,4,2,4,3.75,3.6,2,NA
1112,NA,NA,1,2,2,NA,NA,1,5,3,4,3,3,4,4,4,1,4,4,2,4,0,4,5,5,5,5,3,4,3,3,1,2,2,3.5,2.25,3.6,3,3
1113,NA,0,0,0,1,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2
1114,NA,NA,0,1,0,NA,NA,0,1,0,3,3,3,3,5,5,5,5,5,4,5,4,4,5,5,4,5,3,5,3,3,3,3,2,3,3,4.6,NA,NA
1115,NA,NA,0,0,0,NA,NA,0,0,0,3,3,2,2,5,5,2,3,3,5,3,4,4,5,5,5,4,4,2,3,3,3,2,1,2.5,2.75,3.933333333,4,2
1116,NA,NA,NA,2,3,NA,NA,NA,7,4,4,2,3,2,4,3,4,4,2,5,5,5,4,4,5,4,4,4,4,4,4,5,4,1,2.75,4.25,4.066666667,2,1
1117,NA,NA,0,2,2,NA,NA,0,1,2,4,4,3,4,5,5,4,4,2,5,4,4,5,5,5,4,4,4,4,3,4,4,3,1,3.75,3.5,4.266666667,2,2
1118,2,4,3,6,6,1,0,2,3,4,4,4,4,4,4,4,3,5,5,4,5,3,5,5,5,5,4,4,3,5,5,4,5,1,4,4.75,4.266666667,6,3
